"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 14 15:42:55 GMT 2025","Sun Sep 14 15:42:57 GMT 2025","1990","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Sep 14 15:42:55 GMT 2025","Sun Sep 14 15:42:57 GMT 2025","2008","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Sep 14 15:42:57 GMT 2025","Sun Sep 14 15:43:01 GMT 2025","3334","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sun Sep 14 15:43:08 GMT 2025","Sun Sep 14 15:43:09 GMT 2025","1867","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sun Sep 14 15:43:04 GMT 2025","Sun Sep 14 15:43:07 GMT 2025","2634","LMS system","Courses","Courses","","","Create course",""
"passed","Sun Sep 14 15:43:01 GMT 2025","Sun Sep 14 15:43:03 GMT 2025","1653","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sun Sep 14 15:43:09 GMT 2025","Sun Sep 14 15:43:09 GMT 2025","0","tests.test_pytest","test_markers","TestSuite","","","test_regression_case",""
"passed","Sun Sep 14 15:43:05 GMT 2025","Sun Sep 14 15:43:09 GMT 2025","3388","LMS system","Courses","Courses","","","Edit course",""
"passed","Sun Sep 14 15:43:04 GMT 2025","Sun Sep 14 15:43:05 GMT 2025","1608","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sun Sep 14 15:43:10 GMT 2025","Sun Sep 14 15:43:10 GMT 2025","0","tests.test_pytest","test_markers","TestSuite","","","test_some_case",""
"passed","Sun Sep 14 15:42:57 GMT 2025","Sun Sep 14 15:42:59 GMT 2025","1588","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Sep 14 15:42:59 GMT 2025","Sun Sep 14 15:43:02 GMT 2025","2364","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sun Sep 14 15:43:09 GMT 2025","Sun Sep 14 15:43:09 GMT 2025","0","tests.test_pytest","test_markers","","","","test_password_reset",""
"passed","Sun Sep 14 15:43:09 GMT 2025","Sun Sep 14 15:43:09 GMT 2025","0","tests.test_pytest","test_markers","","","","test_regression_case",""
